,Voltages,1st_NOC,Stuck,2nd_NOC,Without_Stuck,Temperature
0,100.0,71.0,49.0,18.0,89.0,-15.0
1,200.0,83.0,46.0,9.0,92.0,-15.0
2,300.0,81.0,48.0,7.0,88.0,-15.0
3,400.0,94.0,48.0,1.0,95.0,-15.0
4,500.0,82.0,46.0,11.0,93.0,-15.0
5,600.0,109.0,49.0,1.0,110.0,-15.0
6,700.0,122.0,49.0,13.0,135.0,-15.0
7,800.0,108.0,48.0,9.0,117.0,-15.0
8,100.0,72.0,47.0,8.0,80.0,-18.0
9,200.0,74.0,48.0,5.0,79.0,-18.0
10,300.0,75.0,48.0,3.0,78.0,-18.0
11,400.0,74.0,47.0,0.0,74.0,-18.0
12,500.0,81.0,47.0,1.0,82.0,-18.0
13,600.0,75.0,47.0,8.0,83.0,-18.0
14,700.0,83.0,48.0,11.0,94.0,-18.0
15,800.0,86.0,45.0,12.0,98.0,-18.0
16,100.0,75.0,46.0,1.0,76.0,-21.0
17,200.0,80.0,45.0,3.0,83.0,-21.0
18,300.0,69.0,46.0,0.0,69.0,-21.0
19,400.0,70.0,45.0,0.0,70.0,-21.0
20,500.0,68.0,46.0,4.0,72.0,-21.0
21,600.0,75.0,46.0,0.0,75.0,-21.0
22,700.0,121.0,0.0,-49.0,72.0,-21.0
23,800.0,127.0,-2.0,-48.0,79.0,-21.0
